id,speakers,isoda,tokens,tags
1244,UGV-1,Informieren,also - ich bin jetzt oben im ersten Raum auch hier ist der Angriffstrupp nicht vorzufinden,2
1245,UGV-1,Anfordern,Frage: Raum weiter erkunden?,3
1246,TL,Bestätigen,ja richtig,7
1247,TL,Informieren,der Angriffstrupp musste raus,2
1248,TL,Informieren,der hatt' keine Luft mehr den Raum weiter erkunden,2
1249,UGV-1,Auto-postiv,ja ist verstanden,2
1250,TL,Rufen,Lena für Benno,4
1251,UAV,Anruf akzeptieren,Lena hört,5
1252,TL,Anfordern,Lena jetzt sag mir mal genau den Standort dieser Person,3
1253,UAV,Anbieten,ich schick dir eben noch zwei andere Fotos da müsstest du es besser erkennen,2
1254,UAV,Bestätigen,das ist könnte aber eventuell eine andere Person sein,2
1255,TL,Auto-postiv,ja habe verstanden,2
1256,UAV,Rufen,Benno für Lena,4
1257,TL,Anruf akzeptieren,ich höre,5
1258,UAV,Informieren,ich habe jetzt bei der zweiten Person auch eventuell Rauch gefunden,2
1259,TL,Check Frage,du hast mir jetzt ein weiteres Foto geschickt ist das richtig?,3
1260,UAV,Informieren,ich habe drei geschickt,7
1261,UAV,Rufen,Benno für Lena,4
1262,TL,Rufen,Operator 2 für Teamleader kommen,4
1263,UGV-2,Anruf akzeptieren,Operator 2 hört,5
1264,TL,Anfordern,folgenden Auftrag: den gleichen Weg nehmen wie Operator 1,1
1265,TL,Anfordern,Auftrag ist: Erkundung nach weiteren Zugangsmöglichkeiten nach Verletzten,1
1266,TL,Anfordern,schau auch mal wie weit die Rauchentwicklung da ausgedehnt ist,1
1267,UGV-2,Auto-postiv,ja ist soweit verstanden,7
1268,UGV-1,Rufen,der Teamleader von Operator 1,4
1269,TL,Anruf akzeptieren,ich höre,5
1270,UGV-1,Informieren,im ersten großen Raum eine Person gefunden,2
1271,TL,Auto-postiv,prima,2
1272,TL,Versprechen,ich schick dir den Angriffstrupp,2
1273,TL,Informieren,Operator 1 der Angriffstrupp ist unterwegs,2
1274,TL,Check Frage,rechte Treppe hoch rechts in den Raum rein korrekt?,3
1275,UGV-1,Bestätigen,ja richtig so,7
1276,TL,Auto-postiv,verstanden,2
1277,UAV,Rufen,Benno für Lena,4
1278,TL,Anruf akzeptieren,höre,5
1279,UAV,Informieren,ich habe Rauch gefunden und weitere Personen,2
1280,UAV,Rufen,schi-,6
1281,UAV,Anbieten,ich versuch dir nochmal die Bilder zu schicken,2
1282,TL,Auto-postiv,ja verstanden,2
1283,TL,Anruf akzeptieren,bin - ich – k-,6
1284,TL,Informieren,kann da noch nichts lokalisieren auch anhand der großen Karte wo genau diese Personen sich befinden,2
1285,UAV,Auto-postiv,ja das habe ich verstanden,2
1286,TL,Rufen,Operator 1 für Teamleader kommen,4
1287,UGV-1,Anruf akzeptieren,ja ich höre dich,5
1288,TL,Situationsfrage,hast du von der Person ein Foto gemacht und mir geschickt?,3
1289,TL,Anruf akzeptieren,Fo-,6
1290,UGV-1,Informieren,ja Foto gemacht habe ich,7
1291,UGV-1,Sonstiges,ich weiß bloß nicht ob es angekommen ist,2
1292,TL,Situationsfrage,ist das der Mensch der da an einem Pfeiler hockt?,3
1293,UGV-1,Bestätigen,ganz genau,7
1294,TL,Auto-postiv,phantastisch,2
1295,UAV,Rufen,Benno für Lena,4
1296,TL,Anruf akzeptieren,ich höre Lena,5
1297,UAV,Informieren,also - die Person müsste hinter dem großen Hochofen auf dem freien Weg sein,2
1298,UAV,Informieren,der Akku ist jetzt leer,2
1299,UAV,Informieren,wir müssen jetzt auch landen und warten am Boden auf weitere Anweisungen,2
1300,TL,Auto-postiv,ja verstanden,2
1301,TL,Frage,ist das welcher Hochofen ist es der rechte oder der linke von uns aus gesehen?,3
1302,UAV,Informieren,der eine ist nur das Gerüst und der andere ist voll ich meine den vollen,2
1303,TL,Situationsfrage,ist das der der von dir weiter entfernt ist?,3
1304,UAV,Bestätigen,ja das ist richtig,7
1305,TL,Auto-postiv,hab ich verstanden,2
1306,TL,Anfordern,neuer Auftrag ist: Akku tauschen damit die Drohne wieder fliegen kann,1
1307,UAV,Auto-postiv,ja das habe ich verstanden,7
1308,UGV-1,Rufen,der Teamleader von Operator 1 kommen,4
1309,TL,Anruf akzeptieren,ich höre,5
1310,UGV-1,Frage,ja Frage: soll ich nach weiteren Personen suchen?,3
1311,TL,Auto-postiv,ja klar,7
1312,TL,Task akzeptieren,einen Augenblick ich melde mich gleich,6
1313,TL,Antwort,erst muss der Angriffstrupp da gewesen sein,2
1314,UGV-1,Auto-postiv,ja verstanden,2
1315,UAV,Rufen,Benno für Lena,4
1316,UAV,Informieren,wir sind jetzt wieder startklar,2
1317,TL,Task akzeptieren,Lena sag nochmal die letzte Meldung hab ich nicht mitgekriegt,3
1318,UAV,Informieren,wir sind jetzt wieder startklar,2
1319,UAV,Informieren,neuer Akku ist bereit,2
1320,TL,Auto-postiv,ja,2
1321,TL,Task akzeptieren,ich melde mich sofort,2
1322,TL,Rufen,Operator 1 für Teamleader kommen,4
1323,UGV-1,Anruf akzeptieren,hier Operator 1,5
1324,TL,Check Frage,der Raum ist vollständig abgesucht?,3
1325,UGV-1,Rufen,bis zum Opfer auf jeden Fall,7
1326,TL,Situationsfrage,gibt es noch mehr Raum der noch nicht abgesucht ist?,3
1327,UGV-1,Anruf akzeptieren,ja,7
1328,UGV-1,Antwort,der Bereich hinter dem Pfeiler also hinter dem Teil wo die Person war,2
1329,TL,Anruf akzeptieren,jo,2
1330,TL,Anfordern,dann bitte weiter suchen,1
1331,UGV-1,Auto-postiv,ja ist verstanden,7
1332,TL,Rufen,Operator 2 für Teamleader kommen,4
1333,TL,Rufen,Operator 2 für Teamleader kommen,4
1334,UGV-2,Anruf akzeptieren,ja hört,5
1335,TL,Frage,wo bist du jetzt? Standort,3
1336,TL,Anfordern,mach mal Fotos auch,1
1337,TL,Anfordern,wenn du was findest dass man den Weg nachvollziehen kann,2
1338,UGV-2,Anruf akzeptieren,ja mach ich,7
1339,UGV-2,Anbieten,ich bin gerade dabei einfach schon mal Richtung den Weg zu kommen wo der Operator 1 lang gefahren ist,2
1340,TL,Auto-postiv,ja,2
1341,TL,Informieren,dein Auftrag ist an diesem Raum vorbei wo der Operator 1 drin ist und da ab da weiter zu suchen nach Menschen,1
1342,UGV-2,Anruf akzeptieren,ja,7
1343,UGV-2,Auto-postiv,und das Fass hast du gesagt da soll ich dran vorbei fahren ne?,3
1344,TL,Bestätigen,ja korrekt,7
1345,TL,Informieren,das Fass das steht dort irgendwo das war nur zur Orientierung,2
1346,TL,Anfordern,aber mach mir mal ein Foto von dem Fass,1
1347,UGV-2,Task akzeptieren,ja mache ich,7
1348,TL,Rufen,Lena für Benno kommen,4
1349,UAV,Anruf akzeptieren,Lena hört,5
1350,TL,Informieren,Lena du hast alle Fotos jetzt von einer Stelle aus gemacht,2
1351,TL,Anbieten,ich möchte mal dass du mit der Drohne jetzt weiter fliegst zum anderen Hochofen quasi von der anderen Seite der Einsatzstelle aus Fotos machst,1
1352,TL,Rufen,mit der - mit der Drohne,6
1353,TL,Anfordern,und guckst ob du von dort aus noch Personen erkennen kannst,1
1354,UAV,Auto-postiv,das habe ich verstanden,7
1355,TL,Frage,Operator 2 wie ist dein Standort?,3
1356,UGV-2,Informieren,wir haben gerade ein kleines technisches Problem,2
1357,UGV-2,Pausieren,ich melde mich gleich,2
1358,TL,Auto-postiv,verstanden,2
1359,UAV,Rufen,Benno für Lena,4
1360,UAV,Rufen,Benno für Lena,4
1361,TL,Anruf akzeptieren,ich höre,5
1362,UAV,Informieren,ich hab dir gerade ein Übersichtsbild geschickt da erkennt man den gefüllten - also den großen Hochofen sag mir wo du hinmöchtest,2
1363,TL,Anfordern,dass du dieses Bild nochmal machst aber reinzoomst,1
1364,UAV,Choice Frage,wo soll ich reinzoomen in den - eher in den Hochofen oder genau in die Mitte?,3
1365,TL,Check Frage,das gleiche Bild was du jetzt gemacht hast da in die Mitte reinzoomen da wo die Rauchentwicklung ist,2
1366,UAV,Auto-postiv,das habe ich verstanden,2
1367,TL,Rufen,Operator 1 und 2 für Teamleader kommen,4
1368,UGV-1,Anruf akzeptieren,hier Operator 1,5
1369,TL,Situationsfrage,wer von euch beiden hat 'n Foto gemacht auf der Treppe?,3
1370,UGV-1,Bestätigen,ja das habe ich gemacht,2
1371,UAV,Rufen,Benno für Lena,4
1372,TL,Anruf akzeptieren,ich höre,5
1373,UAV,Informieren,ich hab dir nochmal ein Bild ein herangezoomtes Bild geschickt wo der Qualm besser zu sehen ist aber keine Personen gefunden von dieser Position aus,2
1374,TL,Auto-postiv,verstanden,2
1375,TL,Anbieten,Lena dann flieg mal mit deinem Fluggerät da weiter ja weiter nach rechts würde ich jetzt erst mal sagen was immer auch rechts sein mag so wie du jetzt guckst quasi in deiner Position in Richtung deiner Position,1
1376,TL,Rufen,Lena für Benno?,4
1377,UAV,Anruf akzeptieren,Lena hört,5
1378,TL,Anfordern,flieg mal mit der Drohne genau in die andere Richtung,1
1379,TL,Informieren,ich seh dich auf dem Bildschirm,2
1380,UAV,Informieren,wir müssen gerade den Akku tauschen,2
1381,UAV,Anbieten,ich schick dir jetzt noch mal ein Bild von weit oben rechts auf dem Bild was nicht mehr zu sehen ist sind diese drei klein' Hochöfen und links ist der ganz große gefüllte Hochofen,2
1382,UAV,Informieren,genau in der Mitte davon also bei den grünen da kommt der Qualm her,2
1383,TL,Auto-postiv,verstanden,2
1384,UGV-1,Rufen,der Teamleader von Operator 1 kommen,4
1385,TL,Anruf akzeptieren,höre,5
1386,UGV-1,Informieren,ja ich hab den ersten Raum weitestgehend abgesucht gerade so ein bisschen technische Schwierigkeiten,2
1387,UGV-1,Anfordern,geht's einmal die Treppe noch weiter hoch oder soll ich in der Ebene bleiben und nach weiteren Räumen suchen?,3
1388,TL,Task akzeptieren,ich melde mich sofort,2
1389,UGV-1,Auto-postiv,ja verstanden,2
1390,UAV,Rufen,Benno für Lena,4
1391,TL,Anruf akzeptieren,ich höre,5
1392,UAV,Anfordern,kannst du jetzt nochmal genau beschreiben wo ich hinfliegen sollte?,3
1393,TL,Task akzeptieren,ja ich melde mich gleich,2
1394,TL,Rufen,Operator 1 für Teamleader kommen,4
1395,TL,Rufen,Operator 1 für Teamleader kommen,4
1396,TL,Rufen,Operator 2 für Teamleader kommen,4
1397,UGV-2,Anruf akzeptieren,hört,5
1398,TL,Frage,was machen die technischen Probleme wieder einsatzbereit?,3
1399,UGV-2,Ablehnen,negativ,0
1400,TL,Auto-postiv,verstanden,2
1401,UGV-2,Informieren,wir stehen in der Nähe des grünen Fasses,2
1402,UGV-2,Informieren,also ist das grüne Fass kann ich durch die Kamera sehen aber ich kann ihn nicht verfahren,2
1403,UGV-2,Informieren,das Radar scheint irgendwie nicht richtig zu funktionieren,2
1404,UGV-2,Auto-postiv,nicht ge- richtig,6
1405,TL,Situationsfrage,kannst du dich denn noch bewegen?,3
1406,UGV-2,Antwort,ne ich kann hier nichts machen,0
1407,UGV-2,Informieren,es sind ja mit drei vier Technikern die ganze Zeit am PC zugange,2
1408,TL,Auto-postiv,alles klar,2
1409,TL,Check Frage,Foto machen geht auch nicht?,3
1410,UGV-2,Anruf akzeptieren,ne,0
1411,UGV-2,Informieren,ich mache hier gar nichts gerade am Rechner,2
1412,TL,Auto-postiv,alles klar,2
1413,UGV-2,Rufen,Teamleader von Operator 2 kommen,4
1414,TL,Anruf akzeptieren,ich höre,5
1415,UGV-2,Anbieten,ja ich gucke mal dass ich dir jetzt ein Foto schicke,2
1416,UGV-2,Informieren,scheint weiter zu gehen bei uns,2
1417,TL,Auto-postiv,ja verstanden,2
1418,TL,Rufen,Lena für Benno,4
1419,UAV,Anruf akzeptieren,Lena hört,5
1420,TL,Anfordern,wenn du jetzt startest den Hochofen der von euch weiter weg ist - von dort aus hätte ich gerne Bilder aus der Mitte zwischen den Hochöfen,1
1421,UAV,Auto-postiv,ja das habe ich verstanden,7
1422,TL,Situationsfrage,immer noch Menschen suchen ne,1
1423,UAV,Auto-postiv,ja das habe ich auch verstanden,7
1424,UGV-2,Rufen,ja Benno für den Operator 2 kommen,4
1425,TL,Anruf akzeptieren,ich höre,5
1426,UGV-2,Bestätigen,ja hier steht wieder alles,2
1427,TL,Frage,wo ist denn deine Position jetzt?,3
1428,UGV-2,Informieren,immer noch in der Nähe des grünen Fasses,2
1429,UGV-2,Bestätigen,aber hier geht im Moment nichts,2
1430,TL,Auto-postiv,alles klar,2
1431,TL,Rufen,Lena für Benno,4
1432,UAV,Anruf akzeptieren,Lena hört,5
1433,TL,Informieren,zwischen den Hochöfen da steht irgendwo ein grünes Fass und da kommt die Rauchentwicklung her,2
1434,TL,Informieren,ich hab im Moment keinen Roboter einsatzbereit,2
1435,TL,Anfordern,kannst du gucken ob du dieses Fass findest und entsprechende Bilder machst?,1
1436,UAV,Auto-postiv,ja das habe ich verstanden,7
1437,UAV,Auto-postiv,das hab ich auch verstanden,7
1438,UGV-2,Rufen,so der Benno für Operator 2 kommen,4
1439,TL,Anruf akzeptieren,ich höre,5
1440,UGV-2,Bestätigen,ja es geht weiter,2
1441,UGV-2,Informieren,ich habe dir ein Foto geschickt von dem grünen Fass und wo ich mich jetzt gerade befinde,2
1442,TL,Task akzeptieren,ja bleib mal da wo du jetzt bist,1
1443,TL,Check Frage,dieses grüne Fass - da ist der Rauch korrekt?,3
1444,UGV-2,Bestätigen,ja ich weiß,7
1445,UGV-2,Anruf akzeptieren,ich seh den Rauch ab und zu,2
1446,UGV-2,Anbieten,soll ich in die Richtung fahren?,3
1447,TL,Auto-postiv,fahr zu dem grünen Fass,7
1448,TL,Anfordern,und erkunde um dieses grüne Fass herum warum es da raucht,1
1449,UGV-2,Auto-postiv,ja verstanden,7
1450,TL,Rufen,Operator 2 für Teamleader,4
1451,UGV-2,Pausieren,melde mich sofort,6
1452,TL,Rufen,so der Benno an alle,4
1453,TL,Anruf akzeptieren,Übungsende,2
1454,TL,Informieren,die Roboter sollen alle zurückfahren und dann treffen wir uns hier,1
1455,TL,Rufen,UGV 1 von Teamleader,4
1456,UGV-1,Anruf akzeptieren,hier UGV 1 kommen,5
1457,TL,Auto-postiv,du bist soweit?,3
1458,UGV-1,Anruf akzeptieren,ja natürlich,7
1459,TL,Rufen,UGV 2 von Teamleader,4
1460,UGV-2,Anruf akzeptieren,hier UGV-,6
1461,UGV-2,Anruf akzeptieren,hier UGV 2,5
1462,TL,Situationsfrage,ihr seid auch soweit?,3
1463,UGV-2,Rufen,sind bereit ja,7
1464,TL,Auto-postiv,verstanden,2
1465,TL,Rufen,UAV 1 von Teamleader,4
1466,UAV,Anruf akzeptieren,hier UAV 1 kommen,5
1467,TL,Situationsfrage,ihr seid auch soweit?,3
1468,UAV,Anruf akzeptieren,bereit wenn Sie es sind,7
1469,TL,Auto-postiv,verstanden,2
1470,TL,Informieren,der Einsatzauftrag kommt wunderbar,2
1471,MC,Rufen,Teamleader von Mission Commander kommen,4
1472,TL,Anruf akzeptieren,Teamleader hört,5
1473,MC,Anfordern,wie besprochen Gebiet erkunden rund um die beiden Hochöfen,1
1474,MC,Antwort,vermutlich Explosion oder irgendwas mit Chemikalien,2
1475,MC,Antwort,wir wissen nicht ob es eine Leckage ist oder was Anderes,2
1476,MC,Informieren,Rauchentwicklung ist schon gemeldet worden,2
1477,MC,Informieren,möglicherweise sind dann auch Personen vermisst,2
1478,MC,Task akzeptieren,also Personensuche voran- bringen,1
1479,MC,Anfordern,und dann eventuell noch nach der Schadenursache gucken,1
1480,TL,Auto-postiv,das ist verstanden,7
1481,TL,Rufen,an UGV 1 UGV 2 UAV,4
1482,TL,Informieren,kurze Lagedarstellung,2
1483,TL,Informieren,es gab ein'n Zwischenfall zwischen zwei Hochöfen,2
1484,TL,Informieren,dort werden eine oder mehrere Personen vermisst,2
1485,TL,Informieren,eine Rauchentwicklung ist zu erkennen,2
1486,TL,Informieren,und da ist das Einsatzgebiet,2
1487,TL,Rufen,Auftrag für die UAV 1,1
1488,TL,Anruf akzeptieren,hören Sie mit?,4
1489,UAV,Anruf akzeptieren,UAV hört,5
1490,TL,Bestätigen,genau,2
1491,TL,Rufen,Auftrag für die UAV 1,1
1492,TL,Anbieten,ich brauch' einmal ein Lagebild von oben wo das komplette Objekt abgebildet wird und dann speziell ein Foto zwischen den beiden Türen,1
1493,TL,Auto-postiv,verstanden?,3
1494,UAV,Auto-postiv,ein Lagebild von oben komplette Lage und ein Lagebild zwischen den beiden Türen verstanden,7
1495,TL,Bestätigen,das ist korrekt,2
1496,TL,Anfordern,bitte auch per Infrarot bitte,1
1497,TL,Anfordern,auf Menschen und sonstige Ereignisse scannen,1
1498,UAV,Antwort,ja beide Bilder in Infrarot ebenfalls,7
1499,TL,Bestätigen,korrekt,2
1500,TL,Rufen,UGV 1 von Teamleader?,4
1501,UGV-1,Rufen,UGV 1 kommen,5
1502,TL,Informieren,ja Ihr Auftrag ist in das Objekt reinzufahren und den Schadensort zu scannen zu bebildern,1
1503,UGV-1,Auto-postiv,ja verstanden,7
1504,UGV-1,Anruf akzeptieren,ich fahr rein,2
1505,TL,Rufen,UGV 2 von Teamleader?,4
1506,UGV-2,Rufen,UGV 2 kommen,5
1507,TL,Anfordern,ebenfalls Ihr Auftrag vom Westen her Richtung Osten die Einsatzstelle anfahren mir Ihrem UGV und Kontrolle ob Menschen zu erkennen sind beziehungsweise ob irgend ein Schadensereignis zu erkennen ist,1
1508,UGV-2,Auto-postiv,verstanden,7
1509,TL,Rufen,Mission Commander von Teamleader,4
1510,MC,Anruf akzeptieren,kommen Sie,5
1511,TL,Auto-postiv,ja,6
1512,TL,Informieren,erste Maßnahmen eingeleitet wir erstellen ein Lagebild mit der Drohne von oben und per Infrarot,2
1513,TL,Rufen,des Weiteren die zwei UGVs eingeteilt die fahren vor zum Schadensereignis zwecks Menschensuche und weitere Lagedarstellung,2
1514,MC,Auto-postiv,verstanden,2
1515,MC,Rufen,Teamleader von Mission Commander kommen,4
1516,TL,Anruf akzeptieren,Teamleader hört,5
1517,MC,Situationsfrage,welcher Roboter ist jetzt für die Verletztensuche eingeteilt?,3
1518,TL,Rufen,UGV 1 und UGV 2,2
1519,TL,Anfordern,die suchen Verletzte ein- feststellen,6
1520,TL,Anfordern,die suchen Verletzte feststellen was da genau los ist,2
1521,MC,Auto-postiv,ja verstanden,2
1522,MC,Rufen,Teamleader von Mission Commander kommen,4
1523,TL,Anruf akzeptieren,Teamleader hört,5
1524,MC,Situationsfrage,Bild von der UAV eingetroffen?,3
1525,TL,Bestätigen,ja das erste Bild,7
1526,UGV-1,Rufen,Teamleader von UGV 1,4
1527,TL,Anruf akzeptieren,Teamleader hört,5
1528,UGV-1,Informieren,Rauchentwicklung erste Treppe nach oben,2
1529,UGV-1,Anbieten,ich schick dir mal ein Screenshot,2
1530,TL,Bestätigen,korrekt,7
1531,TL,Task akzeptieren,und wenn weitere Erkenntnis das auch melden,1
1532,MC,Rufen,Teamleader von Mission Commander kommen,4
1533,TL,Anruf akzeptieren,Teamleader hört,5
1534,MC,Informieren,aus dem ersten Foto von der UAV mit der Übersicht ist da so ein heller Fleck zu sehen,2
1535,MC,Anfordern,vielleicht kann man nochmal dran zoomen,1
1536,MC,Antwort,ich weiß nicht was das ist - ob das jetzt eine Person ist oder - das ist,6
1537,MC,Informieren,ich weiß nicht was das ist - ob das jetzt eine Person ist das ist unten am unteren Rand da ist ein [<unintelligible>],2
1538,MC,Anruf akzeptieren,kommen,4
1539,UGV-1,Rufen,Teamleader von UGV 1 kommen,4
1540,TL,Anruf akzeptieren,Teamleader hört,5
1541,UGV-1,Anbieten,ja ich werde jetzt die Treppe mal hochfahren und weiter erkunden oben,2
1542,TL,Auto-postiv,ja,7
1543,TL,Auto-postiv,ja verstanden,2
1544,TL,Check Frage,UGV 1 ist das die erste Etage oder so ne - nur fünf Stufen?,3
1545,UGV-1,Informieren,ja zwölf Metallstufen,2
1546,TL,Auto-postiv,verstanden,2
1547,TL,Anfordern,mach mal ein Foto davon,1
1548,UGV-2,Rufen,Teamleader für UGV 2 kommen,4
1549,TL,Anruf akzeptieren,Teamleader hört,5
1550,UGV-2,Informieren,ich bin jetzt auch in der Nähe vom Hochofen angekommen ich sehe Rauchentwicklung und auch einen umgestürtzten blauen Kanister,2
1551,UGV-2,Anbieten,ich schicke Ihnen gleich mal ein Screenshot drüber,2
1552,TL,Bestätigen,ja genau,7
1553,TL,Anfordern,bitte darauf achten eine Bezeichnung auf dem Kanister zu erkennen,1
1554,UGV-2,Auto-postiv,verstanden,7
1555,MC,Rufen,Teamleader von Mission Commander kommen,4
1556,TL,Anruf akzeptieren,Teamleader hört,5
1557,MC,Frage,liegen irgend welche Erkenntnisse nochmal vor inwiefern die Strukturen noch stabil genug sind um Eingriffstrupp reinzuschicken?,3
1558,TL,Rufen,UGV 1 UGV 2,4
1559,TL,Situationsfrage,könnt ihr abschätzen ob das Gebäude noch Tragfähigkeit hat?,3
1560,UGV-2,Rufen,Teamleader für UGV2 kommen,4
1561,UGV-2,Rufen,Teamleader für UGV2 kommen,4
1562,TL,Anruf akzeptieren,Teamleader hört,5
1563,UGV-2,Informieren,ich habe jetzt d- den Kanister gefunden es handelt sich um Otalin Pera-cet zirka 20 bis 30 liter Fassungsvermögen es scheint auch eine Leckage da zu sein,2
1564,UGV-2,Anruf akzeptieren,d- den Kanister,6
1565,UGV-2,Informieren,darüber hinaus habe ich auch - sehe ich auch Teile v-vom Gebäude hier liegen also es - ist - die strukturelle Integrität könnte gefährdet sein,2
1566,UGV-2,Anruf akzeptieren,darüber hinaus habe ich auch - sehe ich auch,6
1567,UGV-2,Informieren,v-vom Gebäude,6
1568,UGV-2,Frage,also es - ist - die strukturelle Integrität könnte gefährdet sein,6
1569,TL,Auto-postiv,ja verstanden,2
1570,TL,Rufen,Mission Commander von Teamleader,4
1571,MC,Anruf akzeptieren,kommen Sie,5
1572,TL,Informieren,ja diese Substanz wurde gefunden ein Foto folgt,2
1573,MC,Auto-postiv,ja verstanden,2
1574,UGV-2,Rufen,Teamleader für UGV2,4
1575,UGV-2,Informieren,ich habe jetzt ein Foto gemacht und geschickt vom Conta- von dem Kanister,2
1576,UGV-2,Rufen,vom Conta- von dem Kanister,6
1577,TL,Auto-postiv,verstanden,2
1578,MC,Rufen,Teamleader v-von Mission Commander kommen,4
1579,MC,Rufen,v-von,6
1580,TL,Anruf akzeptieren,Teamleader hört,5
1581,MC,Situationsfrage,sind schon Verletzte gefunden worden?,3
1582,TL,Informieren,bisher noch nicht wir haben eine Erkenntnis auf auf einem Foto dem gehen wir jetzt nach,2
1583,UGV-2,Rufen,Teamleader für UGV2 kommen,4
1584,UGV-2,Rufen,Teamleader für UGV2 kommen,4
1585,UGV-2,Rufen,Teamleader für UGV2 kommen,4
1586,UAV,Rufen,Teamleader von UAV-Operator kommen,4
1587,UAV,Anruf akzeptieren,Teamleader,5
1588,MC,Rufen,Teamleader von Mission Commander kommen,4
1589,TL,Anruf akzeptieren,Teamleader hört,5
1590,MC,Informieren,Foto von dem blauen Kanister ist eingetroffen,2
1591,MC,Informieren,auf Nachfrage handelt es sich um Kraftstoff,2
1592,MC,Frage,Frage ist der Kanister defekt hat eine Leckage oder ist er noch dicht?,3
1593,TL,Anruf akzeptieren,ich klär das,2
1594,TL,Rufen,UGV2 für Teamleader?,4
1595,UGV-2,Rufen,UGV2 kommen,5
1596,TL,Situationsfrage,ja der Kanister mit Otalin ist er defekt?,3
1597,TL,Situationsfrage,ist nur eine kleine Lache oder ist er komplett ausgelaufen?,3
1598,TL,Frage,wie viel Liter sind das?,3
1599,UGV-2,Antwort,so ich kann nicht genau einschätzen wie viel ausgelaufen ist,2
1600,UGV-2,Informieren,aber eine Leckage hat stattgefunden,2
1601,UGV-2,Informieren,der K-Kanister hat zirka 30 liter Fassvermögen,2
1602,UGV-2,Anruf akzeptieren,K-Kanister,6
1603,UGV-2,Informieren,ich kann aber eine Probe nehmen ich habe einen Arm dabei,2
1604,TL,Auto-postiv,ja,7
1605,TL,Anfordern,dann bitte eine Probe nehmen,1
1606,TL,Frage,gibt's irgendwelche Erkenntnisse wo die Rauchentwicklung herkommt?,3
1607,UGV-1,Informieren,der GUV1 hat jetzt die Treppe erklommen ich werd' nach der Rauchquelle suchen,2
1608,TL,Auto-postiv,das ist verstanden,2
1609,UGV-1,Informieren,aber mein Laser ist ausgefallen ich kann nur noch optisch fahren ist schon sehr verraucht,2
1610,TL,Auto-postiv,ja verstanden,2
1611,TL,Informieren,du hast doch auch eine Infrarot-Kamera drauf,3
1612,TL,Situationsfrage,kannst du damit was erkennen?,3
1613,UGV-1,Bestätigen,die funktioniert doch nicht,0
1614,TL,Auto-postiv,ja verstehe,2
1615,MC,Rufen,Teamleader für Mission Commander,4
1616,TL,Anruf akzeptieren,Teamleader hört,5
1617,MC,Anbieten,wir müssten eine Stelle mal genauer untersuchen,1
1618,UGV-1,Rufen,Teamleader von UGV1 kommen,4
1619,UGV-2,Rufen,Teamleader für UGV2 kommen,4
1620,TL,Pausieren,kurz warten,6
1621,TL,Anruf akzeptieren,Teamleader hört,5
1622,UGV-2,Informieren,wir haben jetzt eine Probe genommen und auch dabei,2
1623,UGV-2,Anfordern,sollen wir jetzt die Suche fortsetzen nach Verletzten oder zurückkehren um die Probe zu analysieren?,3
1624,TL,Antwort,ja wir konnten bereits feststellen das Otalin was es genau ist fortsetzen der Suche,2
1625,UGV-1,Situationsfrage,Thorsten kannst du mich noch hören?,3
1626,UGV-1,Rufen,Teamleader von UGV1 kommen,4
1627,TL,Rufen,Mission Commander von Teamleader,4
1628,MC,Anruf akzeptieren,Mission Commander hört,5
1629,TL,Task akzeptieren,ja Rückmeldung,2
1630,TL,Informieren,Trupp eine Person gefunden wieder aus dem Gefahrenbereich,2
1631,TL,Informieren,geht jetzt und an den Rettungsdienst übergeben,2
1632,MC,Auto-postiv,ja verstanden,2
1633,MC,Anbieten,wir bräuchten mal eine genauere Untersuchung Bild Nummer 3,1
1634,UGV-1,Rufen,Teamleader von UGV1 kommen,4
1635,MC,Rufen,Teamleader von Mission Commander kommen,4
1636,TL,Bestätigen,ja war- kurz warten,6
1637,TL,Informieren,war- kurz warten,6
1638,TL,Rufen,UGV1 von Teamleader,4
1639,UGV-1,Anruf akzeptieren,ja,5
1640,UGV-1,Informieren,die Verrauchung kommt aus einem grünen Fass ich hab mal ein Screenshot geschickt,2
1641,UGV-1,Task akzeptieren,ich versuch' die Beschriftung noch besser zu fotografieren,2
1642,UGV-1,Informieren,es ist aber sehr verraucht,2
1643,UGV-1,Informieren,und mein Laser ist ausgefallen,2
1644,TL,Auto-postiv,das ist verstanden,2
1645,UGV-2,Rufen,Teamleader für UGV2 kommen,4
1646,TL,Anruf akzeptieren,Teamleader hört,5
1647,UGV-2,Informieren,wir sind jetzt auch an dem grünen Kanister angekommen,2
1648,UGV-2,Informieren,wir haben einen Arm dabei sehen auch den zweiten Roboter,2
1649,UGV-2,Informieren,wir können vielleicht etwas bessere Bilder machen,2
1650,TL,Bestätigen,ja genau,7
1651,TL,Informieren,und da wieder die Kennzeichnung die brauchen wir,1
1652,TL,Frage,und eine Einschätzung ob Undichtigkeit und wenn ja wie viel Flüssigkeit ausgetreten ist,1
1653,MC,Task akzeptieren,so jetzt mal stopp,1
1654,MC,Rufen,Teamleader für Mission Commander,4
1655,MC,Informieren,eine verletzte Person hier in diesen Strukturen,2
1656,MC,Rufen,Teamleader von Mission Commander,4
1657,UGV-2,Rufen,Teamleader für UGV2 kommen,4
1658,UGV-1,Informieren,Teamleader-Funk ist ausgefallen,2
1659,UGV-2,Rufen,Teamleader für UGV2 kommen,4
1660,MC,Rufen,Teamleader für Mission Commander kommen,4
