id,speakers,summary,tokens,tags
1676,UGV-2,UGV-2 : wir haben den grünen Container identifiziert haben auch ein Foto gemacht und es - es müsste in der Datenbank liegen. UGV-2 : es scheint - handelt sich um eine gift- giftige entzündliche - hochentzündliche Flüssigkeit. UGV-1 : davor ist noch ein gelber Kanister brennbares Material den hab ich auch mit fotografiert.,super den habe ich noch nicht gesehen,2
1677,UGV-2,UGV-2 : wir haben den grünen Container identifiziert haben auch ein Foto gemacht und es - es müsste in der Datenbank liegen. UGV-2 : es scheint - handelt sich um eine gift- giftige entzündliche - hochentzündliche Flüssigkeit. UGV-2 : super den habe ich noch nicht gesehen.,danke schön,6
1678,MC,UGV-2 : wir haben den grünen Container identifiziert haben auch ein Foto gemacht und es - es müsste in der Datenbank liegen. UGV-2 : es scheint - handelt sich um eine gift- giftige entzündliche - hochentzündliche Flüssigkeit. UGV-2 : super den habe ich noch nicht gesehen.,Teamleader von Mission Commander kommen,4
1679,MC,UGV-2 : es scheint - handelt sich um eine gift- giftige entzündliche - hochentzündliche Flüssigkeit. UGV-2 : super den habe ich noch nicht gesehen. MC : Teamleader von Mission Commander kommen.,Teamleader von Mission Commander kommen,4
1680,TL,UGV-1 : davor ist noch ein gelber Kanister brennbares Material den hab ich auch mit fotografiert. UGV-2 : super den habe ich noch nicht gesehen. MC : Teamleader von Mission Commander kommen.,Teamleader hört,5
1681,MC,UGV-1 : davor ist noch ein gelber Kanister brennbares Material den hab ich auch mit fotografiert. UGV-2 : super den habe ich noch nicht gesehen. MC : Teamleader von Mission Commander kommen.,wie ist der Stand der Rettung der Verletzten?,3
1682,TL,UGV-1 : davor ist noch ein gelber Kanister brennbares Material den hab ich auch mit fotografiert. UGV-2 : super den habe ich noch nicht gesehen. MC : Teamleader von Mission Commander kommen.,ein Trupp arbeitet sich vor der Flug-Roboter fliegt vor die Position des Verletzten z- zwecks besseres Auffinden,2
1683,TL,UGV-1 : davor ist noch ein gelber Kanister brennbares Material den hab ich auch mit fotografiert. MC : Teamleader von Mission Commander kommen. TL : ein Trupp arbeitet sich vor der Flug-Roboter fliegt vor die Position des Verletzten z- zwecks besseres Auffinden.,z- zwecks,6
1684,MC,UGV-1 : davor ist noch ein gelber Kanister brennbares Material den hab ich auch mit fotografiert. MC : Teamleader von Mission Commander kommen. TL : ein Trupp arbeitet sich vor der Flug-Roboter fliegt vor die Position des Verletzten z- zwecks besseres Auffinden.,ja verstanden,2
1685,UGV-1,UGV-1 : davor ist noch ein gelber Kanister brennbares Material den hab ich auch mit fotografiert. MC : Teamleader von Mission Commander kommen. TL : ein Trupp arbeitet sich vor der Flug-Roboter fliegt vor die Position des Verletzten z- zwecks besseres Auffinden.,Teamleader von UGV1 kommen,4
1686,TL,UGV-2 : super den habe ich noch nicht gesehen. MC : Teamleader von Mission Commander kommen. TL : ein Trupp arbeitet sich vor der Flug-Roboter fliegt vor die Position des Verletzten z- zwecks besseres Auffinden.,Teamleader hört,5
1687,UGV-1,MC : Teamleader von Mission Commander kommen. MC : Teamleader von Mission Commander kommen. TL : ein Trupp arbeitet sich vor der Flug-Roboter fliegt vor die Position des Verletzten z- zwecks besseres Auffinden.,ja ich bin an der Grenze zur Datenübertragung habe ich so den Eindruck,2
1688,UGV-1,MC : Teamleader von Mission Commander kommen. MC : Teamleader von Mission Commander kommen. TL : ein Trupp arbeitet sich vor der Flug-Roboter fliegt vor die Position des Verletzten z- zwecks besseres Auffinden.,da geht alles etwas langsamer aber ich versuch' mal hier die Gegend noch weiter abzusuchen,2
1689,TL,MC : Teamleader von Mission Commander kommen. MC : wie ist der Stand der Rettung der Verletzten? UGV-1 : ja ich bin an der Grenze zur Datenübertragung habe ich so den Eindruck.,ja,7
1690,UGV-2,MC : wie ist der Stand der Rettung der Verletzten? TL : ein Trupp arbeitet sich vor der Flug-Roboter fliegt vor die Position des Verletzten z- zwecks besseres Auffinden. UGV-1 : ja ich bin an der Grenze zur Datenübertragung habe ich so den Eindruck.,Teamleader für UGV2 kommen,4
1691,UGV-2,MC : wie ist der Stand der Rettung der Verletzten? TL : ein Trupp arbeitet sich vor der Flug-Roboter fliegt vor die Position des Verletzten z- zwecks besseres Auffinden. UGV-1 : ja ich bin an der Grenze zur Datenübertragung habe ich so den Eindruck.,Teamleader für UGV2 kommen,4
1692,TL,TL : ein Trupp arbeitet sich vor der Flug-Roboter fliegt vor die Position des Verletzten z- zwecks besseres Auffinden. UGV-1 : ja ich bin an der Grenze zur Datenübertragung habe ich so den Eindruck. UGV-1 : da geht alles etwas langsamer aber ich versuch' mal hier die Gegend noch weiter abzusuchen.,Teamleader hört,5
1693,UGV-2,UGV-1 : ja ich bin an der Grenze zur Datenübertragung habe ich so den Eindruck. UGV-1 : da geht alles etwas langsamer aber ich versuch' mal hier die Gegend noch weiter abzusuchen.,wir haben noch eine weitere Flasche gefunden mit 'ner Chemikalie,2
1694,UGV-2,UGV-1 : ja ich bin an der Grenze zur Datenübertragung habe ich so den Eindruck. UGV-1 : da geht alles etwas langsamer aber ich versuch' mal hier die Gegend noch weiter abzusuchen. UGV-2 : wir haben noch eine weitere Flasche gefunden mit 'ner Chemikalie.,wir haben ein Foto gemacht,2
1695,UGV-2,UGV-1 : ja ich bin an der Grenze zur Datenübertragung habe ich so den Eindruck. UGV-1 : da geht alles etwas langsamer aber ich versuch' mal hier die Gegend noch weiter abzusuchen. UGV-2 : wir haben noch eine weitere Flasche gefunden mit 'ner Chemikalie.,das schicke ich jetzt rüber,2
1696,TL,UGV-1 : ja ich bin an der Grenze zur Datenübertragung habe ich so den Eindruck. UGV-1 : da geht alles etwas langsamer aber ich versuch' mal hier die Gegend noch weiter abzusuchen. UGV-2 : wir haben noch eine weitere Flasche gefunden mit 'ner Chemikalie.,ja verstanden,2
1697,MC,UGV-1 : ja ich bin an der Grenze zur Datenübertragung habe ich so den Eindruck. UGV-1 : da geht alles etwas langsamer aber ich versuch' mal hier die Gegend noch weiter abzusuchen. UGV-2 : wir haben noch eine weitere Flasche gefunden mit 'ner Chemikalie.,Teamleader für Mission Commander kommen,4
1698,TL,UGV-1 : da geht alles etwas langsamer aber ich versuch' mal hier die Gegend noch weiter abzusuchen. UGV-2 : wir haben noch eine weitere Flasche gefunden mit 'ner Chemikalie. MC : Teamleader für Mission Commander kommen.,Teamleader hört,5
1699,MC,UGV-2 : wir haben noch eine weitere Flasche gefunden mit 'ner Chemikalie. MC : Teamleader für Mission Commander kommen.,aus dem Foto sehe ich jetzt drei Behältnisse,2
1700,MC,UGV-2 : wir haben noch eine weitere Flasche gefunden mit 'ner Chemikalie. MC : Teamleader für Mission Commander kommen. MC : aus dem Foto sehe ich jetzt drei Behältnisse.,haben wir das grüne Fass dann einen roten Kanister und das untere ist ein blauer umgestürtzter Eimer oder was?,3
1701,MC,UGV-2 : wir haben noch eine weitere Flasche gefunden mit 'ner Chemikalie. MC : Teamleader für Mission Commander kommen. MC : aus dem Foto sehe ich jetzt drei Behältnisse.,gibt's da nähere Erkenntnisse drüber?,3
1702,TL,UGV-2 : wir haben noch eine weitere Flasche gefunden mit 'ner Chemikalie. MC : Teamleader für Mission Commander kommen. MC : aus dem Foto sehe ich jetzt drei Behältnisse.,ja die Erkenntnisse was auf dem Foto zu erkennen ist,2
1703,TL,UGV-2 : wir haben noch eine weitere Flasche gefunden mit 'ner Chemikalie. MC : Teamleader für Mission Commander kommen. MC : aus dem Foto sehe ich jetzt drei Behältnisse.,brennbarer mit Wasser gefährlicher gährender Stoff alles Weitere müsst ihr von der Einsatzseite eruieren,2
1704,MC,MC : Teamleader für Mission Commander kommen. MC : gibt's da nähere Erkenntnisse drüber? TL : brennbarer mit Wasser gefährlicher gährender Stoff alles Weitere müsst ihr von der Einsatzseite eruieren.,ja die Bilder sind nicht so ganz scharf,2
1705,MC,MC : Teamleader für Mission Commander kommen. MC : gibt's da nähere Erkenntnisse drüber? TL : brennbarer mit Wasser gefährlicher gährender Stoff alles Weitere müsst ihr von der Einsatzseite eruieren.,kann er noch vielleicht mal eine bessere Auflösung schicken?,1
1706,TL,MC : Teamleader für Mission Commander kommen. MC : gibt's da nähere Erkenntnisse drüber? TL : brennbarer mit Wasser gefährlicher gährender Stoff alles Weitere müsst ihr von der Einsatzseite eruieren.,ich kümmere mich drum,7
1707,TL,MC : Teamleader für Mission Commander kommen. MC : gibt's da nähere Erkenntnisse drüber? TL : brennbarer mit Wasser gefährlicher gährender Stoff alles Weitere müsst ihr von der Einsatzseite eruieren.,UGV 2 von Teamleader,4
1708,UGV-2,MC : aus dem Foto sehe ich jetzt drei Behältnisse. MC : gibt's da nähere Erkenntnisse drüber? TL : brennbarer mit Wasser gefährlicher gährender Stoff alles Weitere müsst ihr von der Einsatzseite eruieren.,UGV 2 kommen,5
1709,TL,MC : aus dem Foto sehe ich jetzt drei Behältnisse. MC : gibt's da nähere Erkenntnisse drüber? TL : brennbarer mit Wasser gefährlicher gährender Stoff alles Weitere müsst ihr von der Einsatzseite eruieren.,ja UGV 2 wir brauchen nochmal schärfere Bilder von dem Fass und der Kennzeichnung,1
1710,UGV-2,MC : haben wir das grüne Fass dann einen roten Kanister und das untere ist ein blauer umgestürtzter Eimer oder was? MC : gibt's da nähere Erkenntnisse drüber? TL : brennbarer mit Wasser gefährlicher gährender Stoff alles Weitere müsst ihr von der Einsatzseite eruieren.,ich habe Sie nicht gut verstanden können Sie wiederholen?,3
1711,TL,MC : gibt's da nähere Erkenntnisse drüber? MC : ja die Bilder sind nicht so ganz scharf. TL : ja UGV 2 wir brauchen nochmal schärfere Bilder von dem Fass und der Kennzeichnung.,ja von dem Fass brauchen wir nochmal bessere Bilder und auch von der Kennzeichnung,1
1712,UGV-2,TL : ja die Erkenntnisse was auf dem Foto zu erkennen ist. MC : ja die Bilder sind nicht so ganz scharf. TL : ja von dem Fass brauchen wir nochmal bessere Bilder und auch von der Kennzeichnung.,ja ich versuche nochmal zu dem Fass zu fahren,7
1713,UGV-2,TL : brennbarer mit Wasser gefährlicher gährender Stoff alles Weitere müsst ihr von der Einsatzseite eruieren. MC : ja die Bilder sind nicht so ganz scharf. TL : ja von dem Fass brauchen wir nochmal bessere Bilder und auch von der Kennzeichnung.,es ist sehr verraucht mittlerweile,2
1714,UGV-2,MC : ja die Bilder sind nicht so ganz scharf. MC : kann er noch vielleicht mal eine bessere Auflösung schicken? TL : ja von dem Fass brauchen wir nochmal bessere Bilder und auch von der Kennzeichnung.,aber ich versuche bessere Bilder aufzunehmen,2
1715,UGV-1,MC : kann er noch vielleicht mal eine bessere Auflösung schicken? TL : ja UGV 2 wir brauchen nochmal schärfere Bilder von dem Fass und der Kennzeichnung. UGV-2 : ja ich versuche nochmal zu dem Fass zu fahren.,der UGV 1 ist auch in der Nähe ich kann auch nochmal gucken,2
1716,UGV-2,TL : ja UGV 2 wir brauchen nochmal schärfere Bilder von dem Fass und der Kennzeichnung. TL : ja von dem Fass brauchen wir nochmal bessere Bilder und auch von der Kennzeichnung. UGV-2 : ja ich versuche nochmal zu dem Fass zu fahren.,Teamleader vo- für UGV 2 kommen,4
1717,UGV-2,TL : ja UGV 2 wir brauchen nochmal schärfere Bilder von dem Fass und der Kennzeichnung. TL : ja von dem Fass brauchen wir nochmal bessere Bilder und auch von der Kennzeichnung. UGV-2 : ja ich versuche nochmal zu dem Fass zu fahren.,vo- für,6
1718,MC,TL : ja UGV 2 wir brauchen nochmal schärfere Bilder von dem Fass und der Kennzeichnung. TL : ja von dem Fass brauchen wir nochmal bessere Bilder und auch von der Kennzeichnung. UGV-2 : ja ich versuche nochmal zu dem Fass zu fahren.,Teamleader für Mission Commander,4
1719,TL,TL : ja UGV 2 wir brauchen nochmal schärfere Bilder von dem Fass und der Kennzeichnung. TL : ja von dem Fass brauchen wir nochmal bessere Bilder und auch von der Kennzeichnung. UGV-2 : ja ich versuche nochmal zu dem Fass zu fahren.,Teamleader hört,5
1720,MC,UGV-2 : ich habe Sie nicht gut verstanden können Sie wiederholen? TL : ja von dem Fass brauchen wir nochmal bessere Bilder und auch von der Kennzeichnung. UGV-2 : ja ich versuche nochmal zu dem Fass zu fahren.,nach den Fotos müsste die verletzte Person am linken Hochofen liegen und die UGV 2 müsste da dran vorbei gefahren sein,2
1721,MC,TL : ja von dem Fass brauchen wir nochmal bessere Bilder und auch von der Kennzeichnung. UGV-2 : ja ich versuche nochmal zu dem Fass zu fahren. UGV-1 : der UGV 1 ist auch in der Nähe ich kann auch nochmal gucken.,und zwar zwischen der Halle hier wo wir sind und dem Hochofen,2
1722,MC,UGV-2 : ja ich versuche nochmal zu dem Fass zu fahren. UGV-2 : es ist sehr verraucht mittlerweile. MC : nach den Fotos müsste die verletzte Person am linken Hochofen liegen und die UGV 2 müsste da dran vorbei gefahren sein.,da müsste die Person liegen,2
1723,UAV,UGV-2 : es ist sehr verraucht mittlerweile. UGV-2 : aber ich versuche bessere Bilder aufzunehmen. MC : und zwar zwischen der Halle hier wo wir sind und dem Hochofen.,der Einsatleiter vom Operator UAV kommen,4
1724,TL,UGV-2 : aber ich versuche bessere Bilder aufzunehmen. MC : und zwar zwischen der Halle hier wo wir sind und dem Hochofen. UAV : der Einsatleiter vom Operator UAV kommen.,ich hör' dich,5
1725,UAV,UGV-1 : der UGV 1 ist auch in der Nähe ich kann auch nochmal gucken. MC : und zwar zwischen der Halle hier wo wir sind und dem Hochofen. UAV : der Einsatleiter vom Operator UAV kommen.,also derzeit sind wir nicht startbereit mit der UAV,2
1726,UAV,MC : nach den Fotos müsste die verletzte Person am linken Hochofen liegen und die UGV 2 müsste da dran vorbei gefahren sein. MC : und zwar zwischen der Halle hier wo wir sind und dem Hochofen. UAV : der Einsatleiter vom Operator UAV kommen.,weil es noch zu sehr regnet,2
1727,TL,MC : nach den Fotos müsste die verletzte Person am linken Hochofen liegen und die UGV 2 müsste da dran vorbei gefahren sein. MC : und zwar zwischen der Halle hier wo wir sind und dem Hochofen. UAV : der Einsatleiter vom Operator UAV kommen.,hab verstanden,2
1728,TL,MC : nach den Fotos müsste die verletzte Person am linken Hochofen liegen und die UGV 2 müsste da dran vorbei gefahren sein. MC : und zwar zwischen der Halle hier wo wir sind und dem Hochofen. UAV : der Einsatleiter vom Operator UAV kommen.,UGV 1 UGV 2 seid ihr startklar?,3
1729,UGV-1,MC : nach den Fotos müsste die verletzte Person am linken Hochofen liegen und die UGV 2 müsste da dran vorbei gefahren sein. MC : und zwar zwischen der Halle hier wo wir sind und dem Hochofen. UAV : der Einsatleiter vom Operator UAV kommen.,ja ich rolle bereits,7
1730,UGV-2,MC : nach den Fotos müsste die verletzte Person am linken Hochofen liegen und die UGV 2 müsste da dran vorbei gefahren sein. MC : und zwar zwischen der Halle hier wo wir sind und dem Hochofen. UAV : der Einsatleiter vom Operator UAV kommen.,ja ich rolle auch schon,7
1731,TL,MC : und zwar zwischen der Halle hier wo wir sind und dem Hochofen. UAV : der Einsatleiter vom Operator UAV kommen. UAV : also derzeit sind wir nicht startbereit mit der UAV.,verstanden,2
1732,TL,UAV : der Einsatleiter vom Operator UAV kommen. UAV : also derzeit sind wir nicht startbereit mit der UAV.,UGV 1 hast du schon ein Bild gemacht?,3
1733,UGV-1,UAV : der Einsatleiter vom Operator UAV kommen. UAV : also derzeit sind wir nicht startbereit mit der UAV. TL : UGV 1 hast du schon ein Bild gemacht?,ist negativ noch nicht,0
1734,TL,UAV : also derzeit sind wir nicht startbereit mit der UAV. TL : UGV 1 hast du schon ein Bild gemacht?,dann bitte mal eins gerade vorweg,1
1735,UGV-2,UAV : also derzeit sind wir nicht startbereit mit der UAV. TL : UGV 1 hast du schon ein Bild gemacht?,Teamleader von UGV 2,4
1736,TL,TL : UGV 1 hast du schon ein Bild gemacht?,hör' dich,5
1737,UGV-2,TL : UGV 1 hast du schon ein Bild gemacht?,ja ich hab ein grünes Fass ausgemacht und Rauch,2
1738,UGV-2,TL : UGV 1 hast du schon ein Bild gemacht? UGV-2 : ja ich hab ein grünes Fass ausgemacht und Rauch.,hab dir ein Bild gemacht und geteilt,2
1739,TL,TL : UGV 1 hast du schon ein Bild gemacht? UGV-2 : ja ich hab ein grünes Fass ausgemacht und Rauch. UGV-2 : hab dir ein Bild gemacht und geteilt.,verstanden,2
1740,UGV-1,TL : UGV 1 hast du schon ein Bild gemacht? UGV-2 : ja ich hab ein grünes Fass ausgemacht und Rauch. UGV-2 : hab dir ein Bild gemacht und geteilt.,Teamleader von UGV 1,4
1741,UGV-1,TL : UGV 1 hast du schon ein Bild gemacht? UGV-2 : ja ich hab ein grünes Fass ausgemacht und Rauch. UGV-2 : hab dir ein Bild gemacht und geteilt.,starke Rauchentwicklung vor mir,2
1742,UGV-1,TL : UGV 1 hast du schon ein Bild gemacht? UGV-2 : ja ich hab ein grünes Fass ausgemacht und Rauch. UGV-2 : hab dir ein Bild gemacht und geteilt.,ich mach ein Foto und schick's dir,2
1743,TL,UGV-2 : ja ich hab ein grünes Fass ausgemacht und Rauch. UGV-2 : hab dir ein Bild gemacht und geteilt. UGV-1 : ich mach ein Foto und schick's dir.,Teamleader verstanden,2
1744,UGV-2,UGV-2 : ja ich hab ein grünes Fass ausgemacht und Rauch. UGV-2 : hab dir ein Bild gemacht und geteilt. UGV-1 : ich mach ein Foto und schick's dir.,Teamleader von UGV 2,4
1745,UGV-2,UGV-2 : ja ich hab ein grünes Fass ausgemacht und Rauch. UGV-2 : hab dir ein Bild gemacht und geteilt. UGV-1 : ich mach ein Foto und schick's dir.,im ersten Obergeschoss ein grünes Fass und starke Rauchentwicklung,2
1746,TL,UGV-2 : ja ich hab ein grünes Fass ausgemacht und Rauch. UGV-2 : hab dir ein Bild gemacht und geteilt. UGV-2 : im ersten Obergeschoss ein grünes Fass und starke Rauchentwicklung.,ja verstanden,2
1747,TL,UGV-2 : ja ich hab ein grünes Fass ausgemacht und Rauch. UGV-2 : hab dir ein Bild gemacht und geteilt. UGV-2 : im ersten Obergeschoss ein grünes Fass und starke Rauchentwicklung.,Bild hast du verschickt?,3
1748,UGV-2,UGV-2 : hab dir ein Bild gemacht und geteilt. UGV-1 : ich mach ein Foto und schick's dir. UGV-2 : im ersten Obergeschoss ein grünes Fass und starke Rauchentwicklung.,korrekt,7
1749,UGV-1,UGV-1 : ich mach ein Foto und schick's dir. UGV-2 : im ersten Obergeschoss ein grünes Fass und starke Rauchentwicklung.,Teamleader von UGV 1,4
1750,UGV-1,UGV-1 : ich mach ein Foto und schick's dir. UGV-2 : im ersten Obergeschoss ein grünes Fass und starke Rauchentwicklung.,ich verlasse das Erdgeschoss und gehe ins erste Obergeschoss,2
1751,TL,UGV-1 : ich mach ein Foto und schick's dir. UGV-2 : im ersten Obergeschoss ein grünes Fass und starke Rauchentwicklung. UGV-1 : ich verlasse das Erdgeschoss und gehe ins erste Obergeschoss.,Teamleader verstanden,2
1752,TL,UGV-1 : ich mach ein Foto und schick's dir. UGV-2 : im ersten Obergeschoss ein grünes Fass und starke Rauchentwicklung. UGV-1 : ich verlasse das Erdgeschoss und gehe ins erste Obergeschoss.,UGV 2 von Teamleader,4
1753,UGV-2,UGV-2 : im ersten Obergeschoss ein grünes Fass und starke Rauchentwicklung. UGV-1 : ich verlasse das Erdgeschoss und gehe ins erste Obergeschoss.,hört,5
1754,TL,UGV-2 : im ersten Obergeschoss ein grünes Fass und starke Rauchentwicklung. UGV-1 : ich verlasse das Erdgeschoss und gehe ins erste Obergeschoss.,hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist?,3
1755,UGV-2,UGV-2 : im ersten Obergeschoss ein grünes Fass und starke Rauchentwicklung. UGV-1 : ich verlasse das Erdgeschoss und gehe ins erste Obergeschoss. TL : hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist?,ja warten,7
1756,UGV-1,UGV-1 : ich verlasse das Erdgeschoss und gehe ins erste Obergeschoss. TL : hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist?,Teamleader von UGV 1,4
1757,UGV-1,UGV-1 : ich verlasse das Erdgeschoss und gehe ins erste Obergeschoss. TL : hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist?,ich habe die Nebelmaschine gefunden,2
1758,TL,UGV-1 : ich verlasse das Erdgeschoss und gehe ins erste Obergeschoss. TL : hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist? UGV-1 : ich habe die Nebelmaschine gefunden.,ja verstanden,2
1759,TL,UGV-1 : ich verlasse das Erdgeschoss und gehe ins erste Obergeschoss. TL : hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist? UGV-1 : ich habe die Nebelmaschine gefunden.,mach mal ein Foto,1
1760,TL,UGV-1 : ich verlasse das Erdgeschoss und gehe ins erste Obergeschoss. TL : hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist? UGV-1 : ich habe die Nebelmaschine gefunden.,UGV 2 von Teamleader kommen,4
1761,UGV-2,TL : hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist? UGV-1 : ich habe die Nebelmaschine gefunden.,hört,5
1762,TL,TL : hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist? UGV-1 : ich habe die Nebelmaschine gefunden.,Frage gerade: aktueller Standort?,3
1763,UGV-2,TL : hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist? UGV-1 : ich habe die Nebelmaschine gefunden.,im ersten Obergeschoss vor einem Hochofen rechtsseitig ein grünes Fass und Rauchentwicklung,2
1764,UGV-1,TL : hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist? UGV-1 : ich habe die Nebelmaschine gefunden. UGV-2 : im ersten Obergeschoss vor einem Hochofen rechtsseitig ein grünes Fass und Rauchentwicklung.,Teamleader UGV 1,4
1765,TL,UGV-1 : ich habe die Nebelmaschine gefunden. UGV-2 : im ersten Obergeschoss vor einem Hochofen rechtsseitig ein grünes Fass und Rauchentwicklung.,Teamleader hört,5
1766,UGV-1,UGV-1 : ich habe die Nebelmaschine gefunden. UGV-2 : im ersten Obergeschoss vor einem Hochofen rechtsseitig ein grünes Fass und Rauchentwicklung.,ja ich hab 'n blaues Fass gefunden mit Aufschrift,2
1767,UGV-1,UGV-1 : ich habe die Nebelmaschine gefunden. UGV-2 : im ersten Obergeschoss vor einem Hochofen rechtsseitig ein grünes Fass und Rauchentwicklung. UGV-1 : ja ich hab 'n blaues Fass gefunden mit Aufschrift.,hab dir ein Foto geschickt und werde mich dem jetzt nähern,2
1768,TL,UGV-2 : im ersten Obergeschoss vor einem Hochofen rechtsseitig ein grünes Fass und Rauchentwicklung. UGV-1 : ja ich hab 'n blaues Fass gefunden mit Aufschrift. UGV-1 : hab dir ein Foto geschickt und werde mich dem jetzt nähern.,UGV 1 von Teamleader,4
1769,TL,UGV-2 : im ersten Obergeschoss vor einem Hochofen rechtsseitig ein grünes Fass und Rauchentwicklung. UGV-1 : ja ich hab 'n blaues Fass gefunden mit Aufschrift. UGV-1 : hab dir ein Foto geschickt und werde mich dem jetzt nähern.,UGV 1 von Teamleader kommen,4
1770,UGV-1,UGV-2 : im ersten Obergeschoss vor einem Hochofen rechtsseitig ein grünes Fass und Rauchentwicklung. UGV-1 : ja ich hab 'n blaues Fass gefunden mit Aufschrift. UGV-1 : hab dir ein Foto geschickt und werde mich dem jetzt nähern.,ich höre,5
1771,TL,UGV-2 : im ersten Obergeschoss vor einem Hochofen rechtsseitig ein grünes Fass und Rauchentwicklung. UGV-1 : ja ich hab 'n blaues Fass gefunden mit Aufschrift. UGV-1 : hab dir ein Foto geschickt und werde mich dem jetzt nähern.,kommst du näher an das blaue Fass dass wir eine Erkennung haben?,3
1772,UGV-1,UGV-2 : im ersten Obergeschoss vor einem Hochofen rechtsseitig ein grünes Fass und Rauchentwicklung. UGV-1 : ja ich hab 'n blaues Fass gefunden mit Aufschrift. UGV-1 : hab dir ein Foto geschickt und werde mich dem jetzt nähern.,ja ich fahr' gerade näher,7
1773,UGV-1,UGV-2 : im ersten Obergeschoss vor einem Hochofen rechtsseitig ein grünes Fass und Rauchentwicklung. UGV-1 : ja ich hab 'n blaues Fass gefunden mit Aufschrift. UGV-1 : hab dir ein Foto geschickt und werde mich dem jetzt nähern.,Teamleader von UGV 1,4
1774,TL,UGV-1 : ja ich hab 'n blaues Fass gefunden mit Aufschrift. UGV-1 : hab dir ein Foto geschickt und werde mich dem jetzt nähern. TL : kommst du näher an das blaue Fass dass wir eine Erkennung haben?,UGV 1?,5
1775,UGV-1,UGV-1 : ja ich hab 'n blaues Fass gefunden mit Aufschrift. UGV-1 : hab dir ein Foto geschickt und werde mich dem jetzt nähern. TL : kommst du näher an das blaue Fass dass wir eine Erkennung haben?,ja es handelt sich um einen blauen Kanister der aufrecht steht verschlossen ist mit dem Inhalt Otalin,2
1776,UGV-1,UGV-1 : ja ich hab 'n blaues Fass gefunden mit Aufschrift. UGV-1 : hab dir ein Foto geschickt und werde mich dem jetzt nähern. UGV-1 : ja es handelt sich um einen blauen Kanister der aufrecht steht verschlossen ist mit dem Inhalt Otalin.,ich hab ein Foto gemacht und schick's dir,2
1777,TL,UGV-1 : hab dir ein Foto geschickt und werde mich dem jetzt nähern. TL : kommst du näher an das blaue Fass dass wir eine Erkennung haben? UGV-1 : ja es handelt sich um einen blauen Kanister der aufrecht steht verschlossen ist mit dem Inhalt Otalin.,verstanden,2
1778,UGV-1,TL : kommst du näher an das blaue Fass dass wir eine Erkennung haben? UGV-1 : ja es handelt sich um einen blauen Kanister der aufrecht steht verschlossen ist mit dem Inhalt Otalin. UGV-1 : ich hab ein Foto gemacht und schick's dir.,von außen keine Gefahrensymbole von der Vorderseite,2
1779,UGV-1,TL : kommst du näher an das blaue Fass dass wir eine Erkennung haben? UGV-1 : ja es handelt sich um einen blauen Kanister der aufrecht steht verschlossen ist mit dem Inhalt Otalin. UGV-1 : ich hab ein Foto gemacht und schick's dir.,ich werde jetzt noch die rechte Seite erkunden,2
1780,TL,TL : kommst du näher an das blaue Fass dass wir eine Erkennung haben? UGV-1 : ja es handelt sich um einen blauen Kanister der aufrecht steht verschlossen ist mit dem Inhalt Otalin. UGV-1 : ich hab ein Foto gemacht und schick's dir.,zu allen Roboter mal kurz Stop,1
1781,TL,TL : kommst du näher an das blaue Fass dass wir eine Erkennung haben? UGV-1 : ja es handelt sich um einen blauen Kanister der aufrecht steht verschlossen ist mit dem Inhalt Otalin. UGV-1 : ich hab ein Foto gemacht und schick's dir.,UAV für Einsatzleiter,4
1782,UGV-1,UGV-1 : ja es handelt sich um einen blauen Kanister der aufrecht steht verschlossen ist mit dem Inhalt Otalin. UGV-1 : ich hab ein Foto gemacht und schick's dir. UGV-1 : von außen keine Gefahrensymbole von der Vorderseite.,können wir weitermachen?,3
1783,TL,UGV-1 : ja es handelt sich um einen blauen Kanister der aufrecht steht verschlossen ist mit dem Inhalt Otalin. UGV-1 : ich hab ein Foto gemacht und schick's dir. UGV-1 : von außen keine Gefahrensymbole von der Vorderseite.,warten,0
1784,TL,UGV-1 : ja es handelt sich um einen blauen Kanister der aufrecht steht verschlossen ist mit dem Inhalt Otalin. UGV-1 : ich hab ein Foto gemacht und schick's dir. UGV-1 : von außen keine Gefahrensymbole von der Vorderseite.,UAV für Teamleader,4
1785,UAV,UGV-1 : ja es handelt sich um einen blauen Kanister der aufrecht steht verschlossen ist mit dem Inhalt Otalin. UGV-1 : ich hab ein Foto gemacht und schick's dir. UGV-1 : von außen keine Gefahrensymbole von der Vorderseite.,UAV hört,5
1786,TL,UGV-1 : ich hab ein Foto gemacht und schick's dir. UGV-1 : von außen keine Gefahrensymbole von der Vorderseite. UGV-1 : ich werde jetzt noch die rechte Seite erkunden.,Frage: Einsatzbereitschaft?,3
