id,speakers,tokens,tags
1571,MC,kommen Sie,5
1572,TL,ja diese Substanz wurde gefunden ein Foto folgt,2
1573,MC,ja verstanden,2
1574,UGV-2,Teamleader für UGV2,4
1575,UGV-2,ich habe jetzt ein Foto gemacht und geschickt vom Conta- von dem Kanister,2
1576,UGV-2,vom Conta- von dem Kanister,6
1577,TL,verstanden,2
1578,MC,Teamleader v-von Mission Commander kommen,4
1579,MC,v-von,6
1580,TL,Teamleader hört,5
1581,MC,sind schon Verletzte gefunden worden?,3
1582,TL,bisher noch nicht wir haben eine Erkenntnis auf auf einem Foto dem gehen wir jetzt nach,2
1583,UGV-2,Teamleader für UGV2 kommen,4
1584,UGV-2,Teamleader für UGV2 kommen,4
1585,UGV-2,Teamleader für UGV2 kommen,4
1586,UAV,Teamleader von UAV-Operator kommen,4
1587,UAV,Teamleader,5
1588,MC,Teamleader von Mission Commander kommen,4
1589,TL,Teamleader hört,5
1590,MC,Foto von dem blauen Kanister ist eingetroffen,2
1591,MC,auf Nachfrage handelt es sich um Kraftstoff,2
1592,MC,Frage ist der Kanister defekt hat eine Leckage oder ist er noch dicht?,3
1593,TL,ich klär das,2
1594,TL,UGV2 für Teamleader?,4
1595,UGV-2,UGV2 kommen,5
1596,TL,ja der Kanister mit Otalin ist er defekt?,3
1597,TL,ist nur eine kleine Lache oder ist er komplett ausgelaufen?,3
1598,TL,wie viel Liter sind das?,3
1599,UGV-2,so ich kann nicht genau einschätzen wie viel ausgelaufen ist,2
1600,UGV-2,aber eine Leckage hat stattgefunden,2
1601,UGV-2,der K-Kanister hat zirka 30 liter Fassvermögen,2
1602,UGV-2,K-Kanister,6
1603,UGV-2,ich kann aber eine Probe nehmen ich habe einen Arm dabei,2
1604,TL,ja,7
1605,TL,dann bitte eine Probe nehmen,1
1606,TL,gibt's irgendwelche Erkenntnisse wo die Rauchentwicklung herkommt?,3
1607,UGV-1,der GUV1 hat jetzt die Treppe erklommen ich werd' nach der Rauchquelle suchen,2
1608,TL,das ist verstanden,2
1609,UGV-1,aber mein Laser ist ausgefallen ich kann nur noch optisch fahren ist schon sehr verraucht,2
1610,TL,ja verstanden,2
1611,TL,du hast doch auch eine Infrarot-Kamera drauf,3
1612,TL,kannst du damit was erkennen?,3
1613,UGV-1,die funktioniert doch nicht,0
1614,TL,ja verstehe,2
1615,MC,Teamleader für Mission Commander,4
1616,TL,Teamleader hört,5
1617,MC,wir müssten eine Stelle mal genauer untersuchen,1
1618,UGV-1,Teamleader von UGV1 kommen,4
1619,UGV-2,Teamleader für UGV2 kommen,4
1620,TL,kurz warten,6
1621,TL,Teamleader hört,5
1622,UGV-2,wir haben jetzt eine Probe genommen und auch dabei,2
1623,UGV-2,sollen wir jetzt die Suche fortsetzen nach Verletzten oder zurückkehren um die Probe zu analysieren?,3
1624,TL,ja wir konnten bereits feststellen das Otalin was es genau ist fortsetzen der Suche,2
1625,UGV-1,Thorsten kannst du mich noch hören?,3
1626,UGV-1,Teamleader von UGV1 kommen,4
1627,TL,Mission Commander von Teamleader,4
1628,MC,Mission Commander hört,5
1629,TL,ja Rückmeldung,2
1630,TL,Trupp eine Person gefunden wieder aus dem Gefahrenbereich,2
1631,TL,geht jetzt und an den Rettungsdienst übergeben,2
1632,MC,ja verstanden,2
1633,MC,wir bräuchten mal eine genauere Untersuchung Bild Nummer 3,1
1634,UGV-1,Teamleader von UGV1 kommen,4
1635,MC,Teamleader von Mission Commander kommen,4
1636,TL,ja war- kurz warten,6
1637,TL,war- kurz warten,6
1638,TL,UGV1 von Teamleader,4
1639,UGV-1,ja,5
1640,UGV-1,die Verrauchung kommt aus einem grünen Fass ich hab mal ein Screenshot geschickt,2
1641,UGV-1,ich versuch' die Beschriftung noch besser zu fotografieren,2
1642,UGV-1,es ist aber sehr verraucht,2
1643,UGV-1,und mein Laser ist ausgefallen,2
1644,TL,das ist verstanden,2
1645,UGV-2,Teamleader für UGV2 kommen,4
1646,TL,Teamleader hört,5
1647,UGV-2,wir sind jetzt auch an dem grünen Kanister angekommen,2
1648,UGV-2,wir haben einen Arm dabei sehen auch den zweiten Roboter,2
1649,UGV-2,wir können vielleicht etwas bessere Bilder machen,2
1650,TL,ja genau,7
1651,TL,und da wieder die Kennzeichnung die brauchen wir,1
1652,TL,und eine Einschätzung ob Undichtigkeit und wenn ja wie viel Flüssigkeit ausgetreten ist,1
1653,MC,so jetzt mal stopp,1
1654,MC,Teamleader für Mission Commander,4
1655,MC,eine verletzte Person hier in diesen Strukturen,2
1656,MC,Teamleader von Mission Commander,4
1657,UGV-2,Teamleader für UGV2 kommen,4
1658,UGV-1,Teamleader-Funk ist ausgefallen,2
1659,UGV-2,Teamleader für UGV2 kommen,4
1660,MC,Teamleader für Mission Commander kommen,4
1661,UGV-1,Teamleader-Funk ist ausgefallen,2
1662,MC,okay,2
1663,TL,so der Team- der Teamleader hört wieder,2
1664,TL,der Team- der Teamleader,6
1665,TL,Funk funktioniert wieder,2
1666,UGV-2,Teamleader für UGV2 kommen,4
1667,TL,Teamleader hört,5
1668,UGV-2,wir haben den grünen Container identifiziert haben auch ein Foto gemacht und es - es müsste in der Datenbank liegen,2
1669,UGV-2,es scheint - handelt sich um eine gift- giftige entzündliche - hochentzündliche Flüssigkeit,2
1670,UGV-2,es scheint - handelt sich,6
1671,UGV-2,eine gift- giftige,6
1672,UGV-2,entzündliche - hochentzündliche,2
1673,UGV-1,UGV2 von 1,4
1674,UGV-2,UGV1 kommen,5
1675,UGV-1,davor ist noch ein gelber Kanister brennbares Material den hab ich auch mit fotografiert,2
1676,UGV-2,super den habe ich noch nicht gesehen,2
1677,UGV-2,danke schön,6
1678,MC,Teamleader von Mission Commander kommen,4
1679,MC,Teamleader von Mission Commander kommen,4
1680,TL,Teamleader hört,5
1681,MC,wie ist der Stand der Rettung der Verletzten?,3
1682,TL,ein Trupp arbeitet sich vor der Flug-Roboter fliegt vor die Position des Verletzten z- zwecks besseres Auffinden,2
1683,TL,z- zwecks,6
1684,MC,ja verstanden,2
1685,UGV-1,Teamleader von UGV1 kommen,4
1686,TL,Teamleader hört,5
1687,UGV-1,ja ich bin an der Grenze zur Datenübertragung habe ich so den Eindruck,2
1688,UGV-1,da geht alles etwas langsamer aber ich versuch' mal hier die Gegend noch weiter abzusuchen,2
1689,TL,ja,7
1690,UGV-2,Teamleader für UGV2 kommen,4
1691,UGV-2,Teamleader für UGV2 kommen,4
1692,TL,Teamleader hört,5
1693,UGV-2,wir haben noch eine weitere Flasche gefunden mit 'ner Chemikalie,2
1694,UGV-2,wir haben ein Foto gemacht,2
1695,UGV-2,das schicke ich jetzt rüber,2
1696,TL,ja verstanden,2
1697,MC,Teamleader für Mission Commander kommen,4
1698,TL,Teamleader hört,5
1699,MC,aus dem Foto sehe ich jetzt drei Behältnisse,2
1700,MC,haben wir das grüne Fass dann einen roten Kanister und das untere ist ein blauer umgestürtzter Eimer oder was?,3
1701,MC,gibt's da nähere Erkenntnisse drüber?,3
1702,TL,ja die Erkenntnisse was auf dem Foto zu erkennen ist,2
1703,TL,brennbarer mit Wasser gefährlicher gährender Stoff alles Weitere müsst ihr von der Einsatzseite eruieren,2
1704,MC,ja die Bilder sind nicht so ganz scharf,2
1705,MC,kann er noch vielleicht mal eine bessere Auflösung schicken?,1
1706,TL,ich kümmere mich drum,7
1707,TL,UGV 2 von Teamleader,4
1708,UGV-2,UGV 2 kommen,5
1709,TL,ja UGV 2 wir brauchen nochmal schärfere Bilder von dem Fass und der Kennzeichnung,1
1710,UGV-2,ich habe Sie nicht gut verstanden können Sie wiederholen?,3
1711,TL,ja von dem Fass brauchen wir nochmal bessere Bilder und auch von der Kennzeichnung,1
1712,UGV-2,ja ich versuche nochmal zu dem Fass zu fahren,7
1713,UGV-2,es ist sehr verraucht mittlerweile,2
1714,UGV-2,aber ich versuche bessere Bilder aufzunehmen,2
1715,UGV-1,der UGV 1 ist auch in der Nähe ich kann auch nochmal gucken,2
1716,UGV-2,Teamleader vo- für UGV 2 kommen,4
1717,UGV-2,vo- für,6
1718,MC,Teamleader für Mission Commander,4
1719,TL,Teamleader hört,5
1720,MC,nach den Fotos müsste die verletzte Person am linken Hochofen liegen und die UGV 2 müsste da dran vorbei gefahren sein,2
1721,MC,und zwar zwischen der Halle hier wo wir sind und dem Hochofen,2
1722,MC,da müsste die Person liegen,2
1723,UAV,der Einsatleiter vom Operator UAV kommen,4
1724,TL,ich hör' dich,5
1725,UAV,also derzeit sind wir nicht startbereit mit der UAV,2
1726,UAV,weil es noch zu sehr regnet,2
1727,TL,hab verstanden,2
1728,TL,UGV 1 UGV 2 seid ihr startklar?,3
1729,UGV-1,ja ich rolle bereits,7
1730,UGV-2,ja ich rolle auch schon,7
1731,TL,verstanden,2
1732,TL,UGV 1 hast du schon ein Bild gemacht?,3
1733,UGV-1,ist negativ noch nicht,0
1734,TL,dann bitte mal eins gerade vorweg,1
1735,UGV-2,Teamleader von UGV 2,4
1736,TL,hör' dich,5
1737,UGV-2,ja ich hab ein grünes Fass ausgemacht und Rauch,2
1738,UGV-2,hab dir ein Bild gemacht und geteilt,2
1739,TL,verstanden,2
1740,UGV-1,Teamleader von UGV 1,4
1741,UGV-1,starke Rauchentwicklung vor mir,2
1742,UGV-1,ich mach ein Foto und schick's dir,2
1743,TL,Teamleader verstanden,2
1744,UGV-2,Teamleader von UGV 2,4
1745,UGV-2,im ersten Obergeschoss ein grünes Fass und starke Rauchentwicklung,2
1746,TL,ja verstanden,2
1747,TL,Bild hast du verschickt?,3
1748,UGV-2,korrekt,7
1749,UGV-1,Teamleader von UGV 1,4
1750,UGV-1,ich verlasse das Erdgeschoss und gehe ins erste Obergeschoss,2
1751,TL,Teamleader verstanden,2
1752,TL,UGV 2 von Teamleader,4
1753,UGV-2,hört,5
1754,TL,hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist?,3
1755,UGV-2,ja warten,7
1756,UGV-1,Teamleader von UGV 1,4
1757,UGV-1,ich habe die Nebelmaschine gefunden,2
1758,TL,ja verstanden,2
1759,TL,mach mal ein Foto,1
1760,TL,UGV 2 von Teamleader kommen,4
1761,UGV-2,hört,5
1762,TL,Frage gerade: aktueller Standort?,3
1763,UGV-2,im ersten Obergeschoss vor einem Hochofen rechtsseitig ein grünes Fass und Rauchentwicklung,2
1764,UGV-1,Teamleader UGV 1,4
1765,TL,Teamleader hört,5
1766,UGV-1,ja ich hab 'n blaues Fass gefunden mit Aufschrift,2
1767,UGV-1,hab dir ein Foto geschickt und werde mich dem jetzt nähern,2
1768,TL,UGV 1 von Teamleader,4
1769,TL,UGV 1 von Teamleader kommen,4
1770,UGV-1,ich höre,5
1771,TL,kommst du näher an das blaue Fass dass wir eine Erkennung haben?,3
1772,UGV-1,ja ich fahr' gerade näher,7
1773,UGV-1,Teamleader von UGV 1,4
1774,TL,UGV 1?,5
1775,UGV-1,ja es handelt sich um einen blauen Kanister der aufrecht steht verschlossen ist mit dem Inhalt Otalin,2
1776,UGV-1,ich hab ein Foto gemacht und schick's dir,2
1777,TL,verstanden,2
1778,UGV-1,von außen keine Gefahrensymbole von der Vorderseite,2
1779,UGV-1,ich werde jetzt noch die rechte Seite erkunden,2
1780,TL,zu allen Roboter mal kurz Stop,1
1781,TL,UAV für Einsatzleiter,4
1782,UGV-1,können wir weitermachen?,3
1783,TL,warten,0
1784,TL,UAV für Teamleader,4
1785,UAV,UAV hört,5
1786,TL,Frage: Einsatzbereitschaft?,3
1787,UAV,negativ,0
1788,TL,melden wenn Einsatzbereitschaft gegeben,1
1789,UAV,verstanden,2
1790,UGV-1,Teamleader von UGV 1,4
1791,TL,Teamleader hört,5
1792,UGV-1,ja Frage: kommen meine Fotos an?,3
1793,TL,warten,6
1794,UGV-1,müsste ein blauer Kanister sein,2
1795,UGV-1,ich habe weiterhin eine grüne Tonne mit einer drauf befindlichen Flasche gefunden,2
1796,UGV-2,auf dem Weg zu der Tonne mit der Flasche obendrauf da befinde ich mich gerade,2
1797,UGV-1,ja okay dann müsste ich dich ja sehen,2
1798,UGV-1,der steht ja vor die Nebelmaschine?,3
1799,UGV-2,ne ich bin vor diesem Hochofen der mehrere Bullaugen hat,2
1800,UGV-2,sag ich mal ne,0
1801,UGV-2,und da bin ich auf einer Seite vom Geländer,2
1802,UGV-2,ich umfahre jetzt diese Bullaugen und müsste dann direkt vor dem Fass stehen,2
1803,UGV-1,ja das ist negativ,0
1804,UGV-1,ich stehe vor dem Fass,2
1805,UGV-1,so kannst du auf deiner Seite bleiben,2
1806,UGV-2,na ja gut dann mach du ein Foto von dem Fass,7
1807,UGV-2,und ich drehe um und erkunde die andere Seite,2
1808,TL,UGV 1 von Teamleader kommen,4
1809,UGV-1,kommen Sie,5
1810,TL,Frage: hast du ein Foto von dem grünen Fass gemacht?,3
1811,UGV-1,ja ist korrekt,7
1812,UGV-1,grüne Fass mit Flasche drauf,2
1813,UGV-1,werde aber jetzt auch mal die rückwärtige Seite des Fasses erkunden,2
1814,TL,UGV 1 damit warten,1
1815,UGV-1,also ich stehe jetzt genau vor dem Fass,2
1816,UGV-1,ich werde nochmal ein Foto machen und dir schicken,2
1817,UGV-2,können wir weiterfahren oder warten wir noch?,3
1818,TL,ja können weiter fahren,2
1819,TL,UGV 1 aber warten,1
1820,UGV-1,ja das verstanden,7
1821,UGV-1,weitere Foto von grünen Fass mit grüner Flasche drauf wurde dir entsandt,2
1822,UGV-2,ja UGV 2 ich dreh dann um und erkunde die andere Gebäudeseite,2
1823,TL,Teamleiter verstanden,2
1824,TL,UGV 1 von Teamleader,4
1825,UGV-1,kommen,5
1826,TL,ja jetzt haben wir die Erkundung der rückwärtigen Seite in nördlicher Bereich,2
1827,UGV-1,welche rückwärtige Seite vom Fass?,3
1828,UGV-2,Teamleader von UGV 2,4
1829,TL,UGV 2 hört,5
1830,UGV-2,ja von meiner jetztigen Position aus ist quasi aus der Halle raus kein Rauch und keine Gefahren zu erkennen,2
1831,UGV-2,Frage anderer Auftrag?,3
1832,TL,mach mal ein Foto zur Orientierung für mich,2
1833,UGV-2,hab ich schon,2
1834,UGV-2,Teamleader von UGV 2,4
1835,TL,UGV warten,6
1836,UGV-2,Teamleader von UGV 2,4
1837,TL,warten,6
1838,TL,UGV 2 von Teamleader kommen,4
1839,UGV-2,UGV 2 hört,5
1840,UGV-1,Teamleader von UGV 1,4
1841,TL,Teamleader hört,5
1842,UGV-1,ja ich hab dir jetzt erneut das Foto geschickt,2
1843,UGV-1,ich konnte beide Rauchquellen identifizieren beides Nebelmaschinen,2
1844,UGV-1,hab dir jetzt ein Übersichtsfoto geschickt von einmal den blauen Kanister und dem grünen Fass mit der grünen Flasche drauf,2
1845,TL,das ist verstanden,2
1846,UGV-1,jetzt die Frage ob ich mich weiter fortbewegen soll,3
1847,UGV-1,ich kann das Fass noch einmal umkreisen und gucken ob es eine Beschriftung drauf ist,2
1848,TL,negativ,0
1849,TL,UGV 1 UGV 2,4
1850,TL,gab es Möglichkeiten eine Etage weiter nach oben zu kommen?,3
1851,UGV-2,ja UGV 2,7
1852,UGV-2,ich hab hier einen Treppenraum,2
1853,TL,nach oben?,3
1854,UGV-2,das ist korrekt,7
1855,TL,Möglichkeiten mit dem Bodenroboter da hochzufahren?,3
1856,UGV-2,ja ich kann das mal probieren,7
1857,TL,dann Erkundung zweiter Obergeschoss,1
1858,UGV-1,Teamleader von UGV 1,4
1859,UGV-1,ich muss mich erst mal orientiere und gucken ob ich irgendwo hochkomme,2
1860,UGV-1,zur Zeit hier bei den Fässern kann ich nicht hoch,2
1861,TL,verstanden,2
1862,UGV-1,UGV 1 Teamleader von UGV 1,4
1863,TL,UGV 1 höre,5
1864,TL,kommen,5
1865,UGV-1,ja ich hab jetzt das Fass einmal umkreist kann auf dem Fass zwei Gefahrensymbole identifizieren einmal rot mit Flamme brennbar und einmal umweltgefährdend,2
1866,UGV-1,werde davon ein Foto machen und dir zusanden,2
1867,UGV-1,und eine UN-Nummer kann ich erkennen,2
1868,TL,verstanden,2
1869,UGV-1,es handelt sich um die UN-Nummer 12 03 moment,2
1870,UGV-1,Teamleader von UGV 1,4
1871,UGV-1,Fotos sind raus,2
1872,UGV-1,ich kann nur bestätigen UN-Nummer 12 03 Gefahrenzettel leicht entflammbar und umweltgefährdend,2
1873,TL,verstanden,2
1874,UGV-1,noch als Zusatz dieses Fass scheint nicht auszulaufen,2
1875,UGV-1,steht aufrecht und ist keinerlei Flüssigkeitsaustritt zu erkennen,2
1876,TL,verstanden,2
1877,UGV-1,ich werde jetzt versuchen ins Obergeschoss zu kommen,2
1878,TL,wiederholen,1
1879,UGV-1,ich werde jetzt auch einen Weg suchen ins Obergeschoss zu kommen,2
1880,TL,ja ist verstanden,2
1881,TL,UGV 2 von Teamleader,4
1882,UGV-2,UGV 2 hört,5
1883,TL,viel Erfolg mit dem Treppenbesteigen?,3
1884,UGV-2,ja negativ,0
1885,UGV-2,ich hab hier gerade Probleme mit mir selbst,2
1886,UGV-1,ja hier ist der UGV 1 von Teamleader,4
1887,TL,hör dich,5
1888,UGV-1,ja ich hab ein weiteres grünes Fass gefunden beim Erkunden der Treppe gefunden in der Nähe von dem anderen aufrecht stehenden Fass festzustellen,2
1889,UGV-1,werde dies jetzt fotografieren und einmal um-kreisen um eine Leckage,2
1890,TL,ja ist verstanden,2
1891,TL,kannst du einmal ein Foto von dem Fass machen in Richtung der Treppe dass man einen Orientierungspunkt hat?,1
1892,UGV-1,ja das kann ich versuchen,7
1893,UGV-1,ich kann höchstens so fotografieren dass ich halt den Hochofen drauf hab',2
1894,TL,ja verstanden,2
1895,UGV-1,ja wir können die Orientierung nehmen von dem ersten Fass von dem ersten Fass geht's ja die Treppe hoch und da stand direkt das erste Fass und davon gesehen dann rechts,2
1896,TL,ja machen wir so,7
1897,UGV-1,also ich werde das nachher nachvollziehen können,2
1898,UGV-1,Teamleader von UGV 1,4
1899,TL,Teamleader hört,5
1900,TL,ja das zweite Fass ist liegt auf dem Boden ist aber auch augenscheinlich verschlossen läuft nichts aus keine Flüssigkeit läuft aus,2
1901,TL,das ist verstanden,2
1902,UGV-1,hab auch davon ein Foto gemacht und dir zugesandt,2
1903,UGV-1,da siehst du im hinteren Bereich des des Fasses auch die Öffnung die Bullaugen des Hochofens also können wir uns daran orientieren,2
1904,TL,wiederholen,1
1905,UGV-1,wenn du das Foto von dem Fass siehst siehst du im hinteren Bereich hinter dem Fass die Bullaugen des Hochofens,2
1906,TL,verstanden,2
1907,UGV-1,ja Teamleader von UGV 1,4
1908,TL,UGV 1 kommen,5
1909,UGV-1,ja Frage: soll ich weiter erkunden? das Fass liegen lassen weiterfahren?,3
1910,TL,UGV 1 UGV 2 kommen,4
1911,UGV-1,UGV 1 hört,5
1912,UGV-2,UGV 2 hört,5
1913,TL,Maßnahme momentan: warten wir machen hier gerade Übergabe,2
1914,UGV-1,okay,2
1915,UGV-2,hier UGV 2 verstanden,2
1916,TL,UGV 1 versuch noch in kochsweite ein bisschen nähere Ergebnisse zu kriegen,1
1917,UGV-2,ja UGV 1 von UGV 2,4
1918,UGV-1,kommen,5
1919,UGV-2,ja ich hab hier technische Probleme,2
1920,UGV-2,ich kann meine Flipper nicht bewegen und der Laser hat hinter sich,2
1921,UGV-1,ich hab jetzt nochmal ein Foto gesendet wo man das auch seiteliegende Fass und den blauen Kanister so im rückwärtigen Bereich erkennen kann,2
1922,UGV-1,da musst du genau hingucken,1
1923,TL,kannst du mir weitere Details zu dem liegenden Fass geben? eine Nummer zum Beispiel?,3
1924,UGV-1,ja das ist negativ,2
1925,UGV-1,das Fass wurde einmal umkreist es liegt wahrscheinlich genau darauf,2
1926,UGV-1,ich kann mal versuchen mal es ein bisschen zu drehen,2
1927,TL,ja verstanden,7
1928,TL,aber sehr vorsichtig beim Vorgehen,7
1929,UGV-1,ja ist verstanden,2
1930,TL,sieht man irgendwo eine Leckage in der Nähe des Fasses?,3
1931,UGV-1,ja das ist negativ,0
1932,UGV-1,keine Leckage aus dem Fass läuft nichts aus,2
1933,UGV-1,beide Verschluss-Stopfen sind fest verschlossen,2
1934,TL,beide Fässer sind noch nicht beschädigt,2
1935,UGV-1,da das ist korrekt,2
1936,UGV-1,nur auf dem einen stehenden grünen Fass steht noch eine grüne Flasche,2
1937,TL,was kann in der grünen Flasche drin sein?,3
1938,UGV-1,es sieht aus wie Gerolsteiner,2
1939,TL,weitere Erkenntnisse um das Fass herum an Leckagen?,3
1940,TL,da es ja eine Explosion gewesen ist,2
1941,TL,kann man da irgendwo was sehen? sehen wo es ein drittes Fass im Umlauf liegen könnte,3
1942,UGV-1,also im Moment kann ich dazu nichts sagen,2
1943,UGV-1,um diesen beiden Fässern und dem Kanister ist kein Anschein von irgend einer Leckageaber erneut nochmal versuchen muss,2
1944,UGV-1,ich versuche jetzt noch von dem liegenden Fass die UN-Nummer rauszu'kommen was ich bereits schon gedreht hab was ich,2
1945,TL,ja verstanden,2
1946,UGV-2,ja Teamleader von UGV 2,4
1947,TL,hört,5
1948,UGV-2,ja ich versuche eigentlich ins zweite Obergeschoss zu kommen,2
1949,UGV-2,aber ich hab hier erhebliche Probleme mit der Technik mein Roboter ist Made in Taiwan,2
1950,TL,kann man es denn manuell nicht beheben?,3
1951,UGV-2,ich glaube nicht,0
1952,TL,UGV 1,4
1953,UGV-1,ja jetzt nicht,6
1954,UGV-1,Moment mal bitte,6
1955,UGV-1,ja hier ist der UGV 1 von Teamleader,5
1956,UGV-1,ich hab das Fass jetzt hier drehen können und festgestellt dass es sich um dasselbe Piktogramm beziehungsweise den selben Piktogramme handelt wie bei dem ersten Fass,2
1957,UGV-1,weiterhin das Fass nicht beschädigt,2
1958,TL,kann man die Temperatur von dem Fass messen?,3
1959,UGV-1,negativ,0
1960,TL,ich will wissen ob die das Fass noch durch die Explosion ein Wärmebaustein ist,3
1961,UGV-1,ich sehe ein Fass was einfach nur umgekippt ist keine Leckage,2
1962,UGV-1,ich wollte jetzt mit dem UGV 1 nach oben ins Obergeschoss versuchen,2
1963,UGV-1,weil da wollte der Tim hin und konnte nicht weiter erkunden wenn das okay ist,2
1964,UGV-1,wenn das okay ist,2
1965,TL,ja versuch das mal,7
1966,UGV-1,UGV 2 von UGV 1,4
1967,UGV-2,hört,5
1968,UAV,Teamleader von der UAV kommen,4
1969,TL,Teamleader hört,5
1970,UAV,also aufgrund der Wetterlage,2
1971,UAV,wäre jetzt ein Inspektionsflug möglich,2
1972,TL,ja dann werden wir jetzt fliegen und versuchen Bilder vor der Unfallstelle aufzunehmen,7
1973,UAV,welcher Gebäudeteil soll umflogen werden?,3
1974,TL,der mittlere Gebäudeteil,2
1975,UAV,das ist verstanden,2
1976,UAV,wir müssen jedoch nochmal wieder warten,2
1977,UAV,weil noch eine Schauerwolke durchläuft,2
1978,TL,ja verstanden,2
1979,UAV,wir gehen automatisch in die Operation sobald der Regen nachlässt,2
1980,TL,Gruppe Drohne von Teamleader kommen,4
1981,UAV,die UAV hört,5
1982,TL,wie sieht's aus könnt ihr fliegen?,3
1983,UAV,noch negativ,0
1984,UAV,im Moment ist wieder zu viel Regen,2
1985,TL,ja verstanden,2
1986,TL,UGV 1 von Teamleader kommen,4
1987,UGV-1,kommen Sie,5
1988,TL,UGV 2 erreicht?,3
1989,UGV-1,ja ist negativ,0
1990,UGV-1,ich bin einmal jetzt um das Gebäude rum Tim war dat 'ne schräge Treppe,2
1991,UGV-2,ja wie so 'ne Stahltreppe halt aussieht ne biegt erst mal einer nach oben weiter konnte ich nicht sehen,2
1992,UGV-2,weil meine Kamera nicht höher ge-,2
1993,UGV-1,ja weil ich stehe vor einer da liegt auch ein Trümmerteil davor,2
1994,UGV-2,es gab einmal eine Treppe da stand 'n Schild kein Durchgang,2
1995,UGV-2,dann bin ich natürlich nicht hochgefahren,2
1996,UGV-2,und dann war die andere Treppe war mit so 'nem weißen Geländer abgesperrt hier,2
1997,UGV-2,in dem Bereich befinde ich mich,2
1998,UGV-1,ja hab ich verstanden ich guck nochmal,2
1999,TL,UGV 1 von Teamleader,4
2000,UGV-1,ich komm',5
2001,TL,könnt ihr was erkunden was da in lauter Rauch steht?,3
2002,UGV-1,ja hab ich da müsstest ein Foto von hab'n,2
2003,TL,ich gucke,2
2004,TL,dann schick mir mal 'n Foto davon,1
2005,UGV-1,Teamleader von UGV 1,4
2006,UGV-1,ich hab 'nen weiteren Kanister gefunden weiß,2
2007,UGV-1,werde jetzt ein Foto davon machen und dir schicken,2
2008,UGV-1,Tim bist du so 'nen Gang entlang gefahren?,3
2009,UGV-2,ja korrekt,7
2010,UGV-1,Teamleader von UGV 1,4
2011,TL,hört,5
2012,UGV-1,ja der weiße Kanister steht aufrecht,2
2013,UGV-1,scheint verschlossen zu sein ich werd ihn jetzt mal versuchen zu drehen um eventuell 'n Piktogramm darauf zu sehen,2
2014,TL,ja verstanden,2
2015,TL,UGV 2 wie sieht's bei euch aus? UGV 2 von Teamleader kommen,4
2016,TL,UGV 2 von Teamleader kommen,4
2017,UGV-2,UGV 2 gerufen?,3
2018,TL,ja richtig,7
2019,TL,wie sieht's bei euch aus geht gar nichts mehr oder seid ihr wieder im Spiel?,3
2020,TL,UGV 2 von Teamleader kommen,4
2021,UGV-2,UGV 2 gerufen?,3
2022,TL,ja richtig,7
2023,UGV-2,ja mein Roboter hier der hat jetzt ne Kette fast verloren,2
2024,TL,also defekt,2
2025,TL,UGV 1 von Teamleader kommen,4
2026,UGV-1,ja mir ist jetzt gelungen das Gefäß zu bergen beziehungsweise zu drehen,2
2027,UGV-1,werd jetzt einmal ne Rundumschau von dem Gefäß machen,2
2028,UGV-1,ich schick' dir aber erst nochmal 'n Foto,2
2029,UGV-1,beim wenden des Gefäßes ist ein leichter flüssiger Stoff ausgetreten,2
2030,UGV-1,aber nur ein Spritzer,2
2031,UGV-1,keine Gefahr,2
2032,UGV-1,Teamleader von UGV 1,4
2033,TL,Teamleader hört,5
2034,UGV-1,ja der Kanister wurde jetzt von allen Seiten begutachtet Kanister ist verschlossen keine Gefahr und Piktogramme auf dem Kanister,2
2035,UGV-1,ich beweg' mich weiter fort,2
2036,TL,ja verstanden,2
2037,UGV-1,Teamleader von UGV 1,4
2038,UGV-1,ich versuche jetzt zur UGV 2 zu kommen,2
2039,TL,ja verstanden,2
2040,TL,was ist mit der Drohne? Teamleader kommen,4
2041,UAV,die UAV hört,5
2042,TL,ja UAV wie sieht's aus könnt ihr fliegen?,3
2043,UAV,ne leider immer noch nicht,0
2044,UAV,es regnet zu sehr,2
2045,TL,ja verstanden,2
2046,UAV,Teamleader von UAV kommen,4
2047,UAV,Teamleader von UAV kommen,4
2048,TL,hört,5
2049,UAV,wir sind mit der Drohne jetzt in der Luft und werden hinter das Gebäude fliegen,2
2050,TL,ja verstanden,2
2051,TL,UAV 1 habt ihr das Ziel erreicht?,3
2052,UGV-1,also ich hab den UAV 2 getroffen kann da aber mich nicht weiter,2
2053,UGV-1,aber ich seh' jetzt wieder 'ne Rauchentwicklung,2
2054,TL,ja verstanden,2
2055,TL,UAV Drohne?,4
2056,UAV,die Drohne hört,5
2057,UAV,wir haben auch gerade mal zwei Bilder gemacht,2
2058,UAV,die Rauchentwicklung kommt neben dem Hochofen zustande,2
2059,TL,UAV Drohne,4
2060,TL,kann man von oben vielleicht mir ein Foto schicken?,1
2061,UAV,wir haben ein Foto geschickt,7
2062,UAV,wir schalten jetzt mal auf Infrarot um zu gucken ob wir irgendwo eine thermische Entwicklung erkennen können,2
2063,TL,ja verstanden,2
2064,UAV,Teamleader -,4
2065,UGV-1,UAV 1 von UGV 1,4
2066,UGV-1,UAV 1 von UGV 1,4
2067,UGV-1,Drohne von UGV 1,4
2068,UAV,die Drohne hört,5
